sex,race_0,race_1,race_2,race_3,race_4,race_5,race_6,race_7,LSAT,UGPA,ZFYA
1,1,0,0,0,0,0,0,0,0.408997182,-0.305643446,-0.98
1,1,0,0,0,0,0,0,0,-0.141811865,-0.547089026,0.09
0,1,0,0,0,0,0,0,0,-1.24342996,-0.305643446,-0.35
1,1,0,0,0,0,0,0,0,0.04179115,0.418693295,-1.26
1,1,0,0,0,0,0,0,0,-1.151628453,0.901584455,0.3
0,1,0,0,0,0,0,0,0,-0.141811865,0.901584455,-0.1
0,1,0,0,0,0,0,0,0,0.04179115,-1.271425766,-0.12
1,1,0,0,0,0,0,0,0,0.04179115,-1.512871346,1.53
0,1,0,0,0,0,0,0,0,-1.059826945,0.901584455,0.34
0,1,0,0,0,0,0,0,0,0.776203214,-0.064197866,1.53
0,1,0,0,0,0,0,0,0,-0.325414881,-0.305643446,-0.68
1,1,0,0,0,0,0,0,0,-0.325414881,-0.064197866,-0.17
0,1,0,0,0,0,0,0,0,-0.325414881,-0.788534606,-0.42
0,1,0,0,0,0,0,0,0,0.776203214,-2.237208087,-0.35
0,1,0,0,0,0,0,0,0,-1.151628453,0.177247714,0.85
1,1,0,0,0,0,0,0,0,-0.141811865,-0.547089026,0.04
0,1,0,0,0,0,0,0,0,0.592600198,1.625921195,2.48
0,1,0,0,0,0,0,0,0,-0.141811865,0.418693295,0.27
0,1,0,0,0,0,0,0,0,-1.427032976,-1.271425766,0.88
0,1,0,0,0,0,0,0,0,0.04179115,-0.064197866,0.58
0,1,0,0,0,0,0,0,0,-1.24342996,-0.305643446,1.99
0,1,0,0,0,0,0,0,0,0.592600198,-0.305643446,-0.8
1,1,0,0,0,0,0,0,0,0.04179115,0.901584455,0.81
0,1,0,0,0,0,0,0,0,-0.509017897,-1.029980186,-0.12
0,1,0,0,0,0,0,0,0,-0.325414881,-0.547089026,-0.61
0,1,0,0,0,0,0,0,0,0.592600198,0.418693295,-0.73
0,1,0,0,0,0,0,0,0,-0.141811865,-1.512871346,-0.63
0,1,0,0,0,0,0,0,0,-1.427032976,-0.788534606,-0.02
0,1,0,0,0,0,0,0,0,-0.325414881,-1.754316926,0.02
0,1,0,0,0,0,0,0,0,-0.876223929,0.418693295,0.65
1,1,0,0,0,0,0,0,0,-0.141811865,-1.271425766,-0.05
0,1,0,0,0,0,0,0,0,-0.141811865,0.177247714,0.53
0,1,0,0,0,0,0,0,0,-0.141811865,-1.754316926,-1.1
0,1,0,0,0,0,0,0,0,0.225394166,0.901584455,1.41
0,1,0,0,0,0,0,0,0,-0.141811865,0.901584455,1.18
0,1,0,0,0,0,0,0,0,-0.784422421,-0.064197866,0.76
1,1,0,0,0,0,0,0,0,-1.794239008,0.660138875,-1.05
0,1,0,0,0,0,0,0,0,-0.141811865,-1.995762506,0.39
1,1,0,0,0,0,0,0,0,-0.509017897,1.143030035,1.23
1,1,0,0,0,0,0,0,0,-0.325414881,-0.305643446,1.71
0,1,0,0,0,0,0,0,0,-0.141811865,-1.029980186,-0.17
1,1,0,0,0,0,0,0,0,0.225394166,1.143030035,-0.05
0,1,0,0,0,0,0,0,0,-0.509017897,-0.064197866,0.37
0,1,0,0,0,0,0,0,0,0.225394166,-1.029980186,0.44
1,1,0,0,0,0,0,0,0,-0.141811865,0.418693295,0.46
1,1,0,0,0,0,0,0,0,0.95980623,0.660138875,-0.42
0,1,0,0,0,0,0,0,0,-1.427032976,-2.237208087,-0.93
0,1,0,0,0,0,0,0,0,-1.059826945,1.143030035,-0.49
0,1,0,0,0,0,0,0,0,0.04179115,1.384475615,0.72
1,1,0,0,0,0,0,0,0,-0.692620913,0.177247714,-1.24
0,1,0,0,0,0,0,0,0,-0.325414881,0.177247714,-0.7
0,1,0,0,0,0,0,0,0,-0.141811865,-0.064197866,0.83
0,1,0,0,0,0,0,0,0,-0.233613373,-1.995762506,-0.63
0,1,0,0,0,0,0,0,0,0.776203214,0.418693295,-0.05
1,1,0,0,0,0,0,0,0,-0.509017897,0.660138875,0.55
0,1,0,0,0,0,0,0,0,-1.427032976,0.177247714,-0.98
1,1,0,0,0,0,0,0,0,-0.692620913,0.177247714,1.27
0,1,0,0,0,0,0,0,0,-0.876223929,-0.788534606,-0.62
0,1,0,0,0,0,0,0,0,0.408997182,-2.237208087,0.51
1,1,0,0,0,0,0,0,0,0.408997182,0.418693295,-0.56
1,1,0,0,0,0,0,0,0,0.408997182,-0.547089026,-0.42
1,1,0,0,0,0,0,0,0,-0.876223929,1.384475615,-0.08
0,1,0,0,0,0,0,0,0,-1.427032976,0.177247714,-1.19
0,1,0,0,0,0,0,0,0,-1.059826945,-0.547089026,-1.07
1,1,0,0,0,0,0,0,0,-0.141811865,0.177247714,-0.49
0,1,0,0,0,0,0,0,0,-1.24342996,0.660138875,1.39
0,1,0,0,0,0,0,0,0,0.225394166,0.660138875,2.78
1,1,0,0,0,0,0,0,0,-0.509017897,-1.029980186,-0.63
0,1,0,0,0,0,0,0,0,0.04179115,1.143030035,1.32
0,1,0,0,0,0,0,0,0,1.143409245,-0.547089026,0.1
0,1,0,0,0,0,0,0,0,0.95980623,-0.788534606,-0.62
0,1,0,0,0,0,0,0,0,-0.600819405,0.418693295,0.69
0,1,0,0,0,0,0,0,0,-2.16144504,-0.788534606,-0.9
1,1,0,0,0,0,0,0,0,0.225394166,0.418693295,1.23
0,1,0,0,0,0,0,0,0,0.95980623,0.901584455,0.7
0,1,0,0,0,0,0,0,0,0.04179115,0.660138875,-1.64
0,1,0,0,0,0,0,0,0,-1.335231468,0.660138875,-0.24
0,1,0,0,0,0,0,0,0,0.776203214,-0.305643446,-0.05
1,1,0,0,0,0,0,0,0,0.225394166,0.901584455,-1
1,1,0,0,0,0,0,0,0,0.95980623,-0.064197866,-0.22
1,1,0,0,0,0,0,0,0,-0.233613373,0.177247714,2.26
1,1,0,0,0,0,0,0,0,-0.141811865,0.901584455,-0.85
1,1,0,0,0,0,0,0,0,0.408997182,0.660138875,-0.71
0,1,0,0,0,0,0,0,0,-1.610635992,-0.788534606,-1.96
1,1,0,0,0,0,0,0,0,0.95980623,0.177247714,-1.13
1,1,0,0,0,0,0,0,0,1.143409245,0.660138875,0.74
0,1,0,0,0,0,0,0,0,1.143409245,-0.305643446,0.29
0,1,0,0,0,0,0,0,0,-0.325414881,-0.064197866,-0.66
0,1,0,0,0,0,0,0,0,0.592600198,1.143030035,-0.43
1,1,0,0,0,0,0,0,0,0.95980623,-1.754316926,-0.41
1,1,0,0,0,0,0,0,0,0.95980623,-1.271425766,-0.02
1,1,0,0,0,0,0,0,0,0.592600198,1.143030035,0.21
1,1,0,0,0,0,0,0,0,0.225394166,0.660138875,1.61
0,1,0,0,0,0,0,0,0,0.592600198,0.177247714,-0.96
1,1,0,0,0,0,0,0,0,0.408997182,0.660138875,0.98
1,1,0,0,0,0,0,0,0,-0.141811865,0.901584455,-0.58
1,1,0,0,0,0,0,0,0,0.225394166,0.901584455,-0.28
0,1,0,0,0,0,0,0,0,-0.141811865,-0.547089026,-1.19
0,1,0,0,0,0,0,0,0,0.408997182,-0.064197866,-1.34
1,1,0,0,0,0,0,0,0,0.04179115,1.625921195,0.55
0,1,0,0,0,0,0,0,0,-0.968025437,-1.271425766,0.58
1,1,0,0,0,0,0,0,0,0.776203214,1.867366775,2.44
0,1,0,0,0,0,0,0,0,0.776203214,-0.547089026,-1.45
1,1,0,0,0,0,0,0,0,-0.141811865,0.177247714,1.04
0,1,0,0,0,0,0,0,0,-0.325414881,1.384475615,-1.11
1,1,0,0,0,0,0,0,0,0.408997182,1.143030035,-1.58
1,1,0,0,0,0,0,0,0,0.04179115,1.384475615,0.4
0,1,0,0,0,0,0,0,0,0.04179115,-0.305643446,-0.51
0,1,0,0,0,0,0,0,0,-0.141811865,1.384475615,-0.66
0,1,0,0,0,0,0,0,0,0.592600198,0.177247714,-0.77
1,1,0,0,0,0,0,0,0,1.510615277,0.177247714,0.64
0,1,0,0,0,0,0,0,0,-0.325414881,-1.512871346,0.02
1,1,0,0,0,0,0,0,0,0.04179115,0.901584455,-0.02
0,1,0,0,0,0,0,0,0,0.592600198,1.384475615,0.64
0,1,0,0,0,0,0,0,0,0.408997182,0.418693295,0.4
